id,PS_mean_mfcc_0,PS_mean_mfcc_1,PS_mean_mfcc_2,PS_mean_mfcc_3,PS_mean_mfcc_4,PS_mean_mfcc_5,PS_mean_mfcc_6,PS_mean_mfcc_7,PS_mean_mfcc_8,PS_mean_mfcc_9,PS_mean_mfcc_10,PS_mean_mfcc_11,BS_mean_mfcc_0,BS_mean_mfcc_1,BS_mean_mfcc_2,BS_mean_mfcc_3,BS_mean_mfcc_4,BS_mean_mfcc_5,BS_mean_mfcc_6,BS_mean_mfcc_7,BS_mean_mfcc_8,BS_mean_mfcc_9,BS_mean_mfcc_10,BS_mean_mfcc_11,PS_mean_centroid,BS_mean_centroid,
HF004_013118,-831.856628418,132.02432251,-19.4826869965,-33.1728439331,-38.4470672607,-48.823184967,-37.0989494324,-27.1708526611,-32.4522438049,-18.9866104126,-16.2318706512,-17.9904766083,-990.917236328,130.160766602,11.8278503418,-23.2021026611,-23.4030323029,-31.1974086761,-27.4203224182,-25.128364563,-28.2084999084,-19.1669578552,-14.6363945007,-18.8061237335,0.13619784896,0.0766139029342,
HF004_020118,-834.876220703,137.496856689,-25.326084137,-32.5112457275,-38.5989456177,-50.565536499,-35.8651390076,-27.6805343628,-33.0892219543,-18.0132389069,-14.4447784424,-17.3798313141,-987.528991699,131.203308105,8.1722984314,-25.8383598328,-22.846113205,-30.0620861053,-27.426492691,-25.2901611328,-27.6113872528,-17.8426418304,-12.9368934631,-17.8410491943,0.12500583726,0.0762886288297,
HF005_020818,-803.676818848,102.328475952,-40.5423202515,-24.6767063141,-39.2021484375,-51.7524147034,-33.0509796143,-24.8240013123,-35.6476211548,-15.8496465683,-11.8498811722,-17.5439834595,-822.059143066,142.526855469,-39.82447052,-19.03632164,-32.6363372803,-53.7444343567,-30.9013576508,-25.5893974304,-36.2602348328,-18.6734333038,-8.33333110809,-22.065946579,0.169954664674,0.0869844663014,
HF006_022018,-819.151245117,125.000244141,-43.0774765015,-35.795425415,-35.8326339722,-50.2753143311,-33.7177276611,-23.9413528442,-28.5834789276,-18.7363109589,-14.6664514542,-13.1524677277,-970.0703125,134.274581909,-14.1661319733,-40.7603607178,-24.574968338,-35.3171920776,-32.2307701111,-17.9260253906,-19.9348659515,-19.657995224,-10.8367500305,-10.8164129257,0.133786838491,0.0745863897703,
HF006_022118,-850.109436035,127.436889648,-41.3559799194,-36.9873199463,-31.009595871,-45.8477058411,-35.5396270752,-24.0425567627,-28.6154441833,-18.3357696533,-14.104631424,-11.4421434402,-1005.26422119,115.687080383,5.18295383453,-25.4698314667,-21.9452495575,-32.1189575195,-30.0022983551,-18.360660553,-18.9434967041,-18.5444755554,-10.6216058731,-9.03289985657,0.136613296473,0.0863741320033,
HF007_040318,-741.458312988,92.7268981934,-22.5275669098,-34.9976615906,-51.4323616028,-54.7176246643,-34.6881752014,-25.5420074463,-33.748500824,-16.8505477905,-11.8537187576,-18.8058586121,-718.762817383,183.582443237,-39.1064910889,-39.9679222107,-41.6175231934,-57.9466629028,-39.2917404175,-31.5427455902,-31.2622756958,-23.5999526978,-15.4926776886,-16.9396724701,0.193308042943,0.0711402006249,
HF007_030118,-674.608215332,124.321166992,-13.7732934952,-38.6713943481,-54.9935646057,-59.0811500549,-41.815284729,-32.4079856873,-27.0957336426,-17.924079895,-15.7424058914,-17.3749961853,-686.248046875,180.85345459,-30.9796524048,-38.1975517273,-50.071182251,-62.3388519287,-38.5290374756,-32.1328735352,-26.8594799042,-19.9026317596,-16.4706668854,-19.9326896667,0.142163237724,0.0709920883716,
HF008_031218,-648.760803223,115.26171875,-48.7396240234,-24.2870101929,-51.9320373535,-58.2438354492,-37.9512367249,-30.9998779297,-32.9732818604,-25.8563919067,-13.1949033737,-17.7062511444,-674.40246582,143.242080688,-63.6824150085,-23.3985824585,-50.7970848083,-58.5300827026,-37.8838653564,-32.0907783508,-33.216053009,-29.0568752289,-6.76991939545,-21.4642105103,0.134856039806,0.0911772480095,
HF009_031918,-779.884033203,109.371459961,-14.4540748596,-32.7807273865,-57.5213432312,-44.4657249451,-40.2661132812,-34.4033126831,-26.3039836884,-17.9768657684,-17.8352069855,-11.6983137131,-691.517883301,165.487518311,-45.8783111572,-26.191696167,-50.6397209167,-47.6342163086,-32.9880218506,-41.8101043701,-32.4894523621,-23.2449817657,-17.0268764496,-18.1166114807,0.162145397131,0.0811463328572,
HF009_032018,-799.02746582,123.874061584,-11.3525762558,-29.1451187134,-52.4107055664,-53.1448822021,-37.3503761292,-32.9467735291,-32.1386032104,-14.9188251495,-15.8163166046,-15.491985321,-687.593566895,185.962051392,-30.5147476196,-28.1569423676,-51.9744415283,-63.6263237,-32.9337615967,-39.9340362549,-36.2913360596,-17.8940525055,-16.6081008911,-19.564239502,0.145765375557,0.0684764174813,
